Index,Reference.Paper,Year,Country,Type,Depth,Surface.Area,Flow,Hydraulic.Residence.Time..tau.,L_in_TN,L_out_TN,k_TN_PFR,k_TN_CSTR,L_in_NO3,L_out_NO3,k_NO3_PFR,k_NO3_CSTR,L_in_TP,L_out_TP,k_TP_PFR,k_TP_CSTR,L_in_PO4,L_out_PO4,k_PO4_PFR,k_PO4_CSTR
386,Luederitz et al,2001,Germany,CWUF,1,670,7300,10.050000000000001,1.99,0.124,0.2761799355336817,1.497351949927781,NA,NA,NA,NA,0.26799999999999996,8.0000000000000002E-3,0.34940750635134527,3.2338308457711342,NA,NA,NA,NA
387,Patoine et al,2006,Canada,Lake,NA,29000000,124409999.99999997,255.24475524475528,201.92307692307693,173.07692307692307,6.0393280041912167E-4,6.5296803652968138E-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
388,Patoine et al,2006,Canada,Lake,NA,227000000,144560000,4562.5,519.23076923076928,711.53846153846155,-6.9058859537511291E-5,-5.9237319511292094E-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
389,Patoine et al,2006,Canada,Lake,NA,500000,43520000,5.703125,145.96153846153845,115.38461538461539,4.1218125532840925E-2,4.6465753424657516E-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
390,Patoine et al,2006,Canada,Lake,NA,16000000,167250000,486.66666666666663,3621.1538461538462,923.07692307692309,2.8085659412778407E-3,6.0059931506849318E-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
391,Patoine et al,2006,Canada,Lake,NA,15000000,242000000,182.5,1673.0769230769231,1557.6923076923076,3.9155596702545193E-4,4.058853373921873E-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
392,Patoine et al,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
393,Powers,2013,USA,Lake,NA,18000,9855000,0.13500000000000001,NA,NA,NA,NA,77,75.459999999999994,0.14964968383347838,0.15117157974300888,NA,NA,NA,NA,NA,NA,0.22562375914598942,0.22909507445589927
395,Moustafa,1996,USA,CWSF,0.38,480000,3698666.666666667,18,20.672876712328765,14.202739726027398,2.0854869603938134E-2,2.5308641975308639E-2,NA,NA,NA,NA,0.6627945205479453,0.17358904109589041,7.4431908082499887E-2,0.1565656565656566,NA,NA,NA,NA
396,Kouki et al.,2009,Tunisia,CWUF,1.5,121,9937.125,2,5.5811250000000001,3.1853249999999997,0.28041802217032608,0.37606837606837618,NA,NA,NA,NA,0.19520324999999999,5.3144084812499996E-3,1.8018098050815565,17.865472910927419,NA,NA,NA,NA
398,Song et al,2007,NA,CWSF,0.1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6766466621275502,4.3475935828876988
399,Song et al,2007,NA,CWSF,0.4,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46883235614580338,1.0272108843537415
400,Maehlum,1995,Norway,CWSF,NA,400,43800,3,20.999999999999996,19.2,2.9870719563229012E-2,3.125E-2,NA,NA,NA,NA,0.10199999999999999,9.0000000000000011E-2,4.1721047651335268E-2,4.4444444444444342E-2,NA,NA,NA,NA
401,Maehlum,1995,Norway,CWUF,NA,NA,43800,30,19.2,9,2.5256190056583881E-2,3.7777777777777778E-2,NA,NA,NA,NA,9.0000000000000011E-2,2.4E-2,4.4058527999410652E-2,9.1666666666666646E-2,NA,NA,NA,NA
